name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Артыков Анвар Артыкович,0,3,1,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,,,,Ar-Namys,SDPK",5,Ar-Namys,4.0,62
Артыков Анвар Артыкович,0,3,1,113,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,,,,Ar-Namys,SDPK",6,SDPK,4.0,62
Асанакунов Мирбек Аскерович,0,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,SDPK,,",4,SDPK,,63
Асаналев Ганы Бекбоевич,0,1,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,64
Асанов Бектур Жантороевич,0,1,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,65
Асанов Курсан Сатарович,0,1,0,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,SDPK,",5,SDPK,,66
Аскарова Айнура Алмасбековна,0,1,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Kyrgyzstan",6,Kyrgyzstan,,67
Асылбаева Гюльшат Кадыровна,0,1,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,",,,,,Onuguu-progress",6,Onuguu-progress,,68
Асылбек уулу Дамирбек,0,2,1,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Ak Jol,,Kyrgyzstan",4,Ak Jol,2.0,69
Асылбек уулу Дамирбек,0,2,1,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Ak Jol,,Kyrgyzstan",6,Kyrgyzstan,2.0,69
Асымбекова Гульнара Уметовна,0,1,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,",5,Ar-Namys,,70
Атаджанов Сабир Садыкджанович,0,1,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,SDPK,",5,SDPK,,71
Атамбаев Алмазбек Шаршенович,0,2,0,63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,SDPK,",1,Independent,4.0,72
Атамбаев Алмазбек Шаршенович,0,2,0,116,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,SDPK,",5,SDPK,4.0,72
Атамбаев Нурпазыл Сатышович,0,1,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,73
Аттокуров Данияр Бексултанович,0,1,0,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,SDPK",6,SDPK,,74
Аттокуров Осмонали Абдибалиевич,0,1,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,75
Ачылова Рахат,0,1,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,76
Баатырбеков Алмазбек Баатырбекович,0,2,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Republic,Kyrgyzstan",5,Republic,1.0,77
Баатырбеков Алмазбек Баатырбекович,0,2,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Republic,Kyrgyzstan",6,Kyrgyzstan,1.0,77
Бабанов Омурбек Токтогулович,1,3,0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,Independent,,Republic,Republic - Ata Jurt",3,Independent,2.0,78
